,Monthly Return ($)
2000-01-01,-0.10168112798264639
2000-02-01,0.2073649260488981
2000-03-01,0.0625
2000-04-01,0.39717647058823524
2000-05-01,11.10508588750421
2000-06-01,0.07276015581524775
2000-07-01,0.27415380625081065
2000-08-01,0.20407124681933841
2000-09-01,0.012679628064243387
2000-10-01,0.12604340567612704
2000-11-01,0.05337286879169745
2000-12-01,0.23856439127375095
2001-01-01,-0.2261363636363637
2001-02-01,0.17841409691629972
2001-03-01,-0.2504672897196262
2001-04-01,0.17206982543640903
2001-05-01,-0.00496453900709215
2001-06-01,-0.45188880969351386
2001-07-01,0.16983094928478537
2001-08-01,-0.1340595820364605
2001-09-01,0.037869062901155104
2001-10-01,0.06617192331478061
2001-11-01,-0.10788863109048719
2001-12-01,0.051365409622886604
2002-01-01,0.006802721088435604
2002-02-01,0.0009828009828010131
2002-03-01,0.17648502700049096
2002-04-01,0.0348424786146464
2002-05-01,-0.5055443548387097
2002-06-01,-0.06931702344546375
2002-07-01,-0.24863088718510407
2002-08-01,-0.08309037900874627
2002-09-01,0.07408585055643879
2002-10-01,-0.28656009473060984
2002-11-01,-0.004149377593361092
2002-12-01,-0.03166666666666673
2003-01-01,0.15103270223752152
2003-02-01,0.03813084112149534
2003-03-01,0.06769895570759799
2003-04-01,-0.0064080944350758395
2003-05-01,0.09131025118805147
2003-06-01,-0.06220839813374801
2003-07-01,0.0537313432835822
2003-08-01,-0.04784387787220645
2003-09-01,-0.05123966942148761
2003-10-01,0.2351916376306622
2003-11-01,0.018899858956276328
2003-12-01,0.022978959025470758
2004-01-01,0.15561569688768606
2004-02-01,-0.08220140515222496
2004-03-01,0.0015310028068384884
2004-04-01,0.012484076433121105
2004-05-01,0.04076497232008047
2004-06-01,-0.040135396518375166
2004-07-01,-0.013602015113350241
2004-08-01,0.06205311542390213
2004-09-01,0.0512142341909112
2004-10-01,0.04757548032936865
2004-11-01,0.04694323144104806
2004-12-01,0.038998957247132315
2005-01-01,-0.03954235246888793
2005-02-01,0.0008359456635318452
2005-03-01,0.006473167675923985
2005-04-01,0.026970954356846377
2005-05-01,-0.021212121212121127
2005-06-01,0.029927760577915352
2005-07-01,0.015430861723446876
2005-08-01,-0.026642984014209614
2005-09-01,-0.01236820762368207
2005-10-01,-0.009443646068569067
2005-11-01,0.07544041450777206
2005-12-01,0.03777221044517254
2006-01-01,0.08913649025069637
2006-02-01,-0.009207161125319718
2006-03-01,0.006367234555153978
2006-04-01,-0.023597811217510145
2006-05-01,0.03957968476357254
2006-06-01,0.048349056603773644
2006-07-01,0.0351920295677326
2006-08-01,0.06209251785159897
2006-09-01,-0.04165448699210772
2006-10-01,0.04453256062223576
2006-11-01,0.03372755146736761
2006-12-01,0.03771186440677976
2007-01-01,-0.0004083299305839283
2007-02-01,0.08496732026143805
2007-03-01,-0.08847891566265076
2007-04-01,0.08687870026159983
2007-05-01,-0.002533569799847979
2007-06-01,-0.006096012192024269
2007-07-01,-0.05635062611806807
2007-08-01,0.05159106296547056
2007-09-01,0.007339685809940821
2007-10-01,-0.12118113255784235
2007-11-01,0.05701818181818186
2007-12-01,0.03935599284436497
2008-01-01,-0.02330199920561371
2008-02-01,0.04798698657991052
2008-03-01,-0.04695382227396194
2008-04-01,0.026330076004343006
2008-05-01,-0.02419994710394069
2008-06-01,-0.05637620273749844
2008-07-01,-0.02944133275886829
2008-08-01,0.0824208345664399
2008-09-01,-0.04989747095010255
2008-10-01,-0.11525179856115109
2008-11-01,0.030411449016100045
2008-12-01,0.016571969696969724
2009-01-01,-0.0808880608601148
2009-02-01,-0.07077702702702715
2009-03-01,0.06326122523177613
2009-04-01,0.09676867840656533
2009-05-01,-0.049727201870615856
2009-06-01,0.11204068241469822
2009-07-01,-0.008850862959138617
2009-08-01,0.03869623455871429
2009-09-01,-0.058604384582318425
2009-10-01,0.04855403348554033
2009-11-01,0.059079692263027894
2009-12-01,0.02576754385964919
2010-01-01,-0.04997327632282211
2010-02-01,0.0310829817158933
2010-03-01,0.032737689264765946
2010-04-01,0.037775723154140906
2010-05-01,-0.037673412243858895
2010-06-01,-0.0034386985848433582
2010-07-01,-0.03145321831453207
2010-08-01,-0.004932858317347244
2010-09-01,0.0800055081244837
2010-10-01,0.036848144842534625
2010-11-01,0.008730939498278412
2010-12-01,0.07180299890284036
2011-01-01,0.022634212920837005
2011-02-01,0.0024468913357802435
2011-03-01,0.022190169754798594
2011-04-01,0.04710734831216756
2011-05-01,0.045195397532911796
2011-06-01,-0.04006744024595843
2011-07-01,-0.06229982436202086
2011-08-01,-0.07966064345526669
2011-09-01,-0.05363342511672453
2011-10-01,0.06072106261859589
2011-11-01,0.022301729278473514
2011-12-01,0.0029164722351844308
2012-01-01,0.06304524834244507
2012-02-01,-0.016413174307911116
2012-03-01,0.01835576816108575
2012-04-01,-0.03987327944068175
2012-05-01,-0.05245192854704739
2012-06-01,0.11203170028818432
2012-07-01,-0.09199870424360213
2012-08-01,0.045903198953502145
2012-09-01,0.051392836839113
2012-10-01,-0.08370282253703898
2012-11-01,-0.0016523073291632162
2012-12-01,0.023998108523466177
2013-01-01,0.0332486723620411
2013-02-01,-0.010055865921787754
2013-03-01,0.01805869074492117
2013-04-01,0.035033259423503216
2013-05-01,0.0656598114824336
2013-06-01,0.006131269474318968
2013-07-01,-0.03356643356643352
2013-08-01,-0.01054372544965887
2013-09-01,0.03572921019640618
2013-10-01,0.01775267298769423
2013-11-01,0.009415262636273347
2013-12-01,-0.10289641629847801
2014-01-01,-0.01685454744445669
