,Monthly Return ($)
2000-01-01,0.019831730769230616
2000-02-01,0.17766647024160287
2000-03-01,0.2797097823367525
2000-04-01,-0.37683284457478006
2000-05-01,-0.2784313725490196
2000-06-01,0.43673913043478274
2000-07-01,-0.20653654108034503
2000-08-01,0.22044241037376056
2000-09-01,-0.11031250000000004
2000-10-01,0.128380751668423
2000-11-01,-0.16918287937743182
2000-12-01,-0.2658298988385164
2001-01-01,0.23500893084970653
2001-02-01,-0.262396694214876
2001-03-01,-0.11764705882352944
2001-04-01,0.33650793650793664
2001-05-01,0.20261282660332536
2001-06-01,-0.20896701560339725
2001-07-01,0.035705368289637995
2001-08-01,-0.025313404050144594
2001-09-01,-0.14048973534504083
2001-10-01,0.28201438848920857
2001-11-01,0.06397306397306401
2001-12-01,0.01371308016877637
2002-01-01,-0.042663891779396446
2002-02-01,-0.08304347826086955
2002-03-01,0.1095305832147937
2002-04-01,-0.06303418803418792
2002-05-01,0.02508551881413923
2002-06-01,-0.19911012235817582
2002-07-01,0.04583333333333339
2002-08-01,0.03107569721115544
2002-09-01,-0.20144255538382283
2002-10-01,0.24193548387096775
2002-11-01,0.15194805194805205
2002-12-01,-0.14317925591882752
2003-01-01,0.07236842105263164
2003-02-01,0.0009815950920244454
2003-03-01,-0.0009806325079676492
2003-04-01,0.08687116564417185
2003-05-01,0.06683224204109273
2003-06-01,-0.009100529100529053
2003-07-01,0.15335326783425884
2003-08-01,0.009814814814814943
2003-09-01,-0.045479552539886337
2003-10-01,0.1287223823246879
2003-11-01,0.03012765957446817
2003-12-01,0.05634500991407787
2004-01-01,0.033474112310339255
2004-02-01,-0.06387165127894645
2004-03-01,-0.5198059822150364
2004-04-01,0.06430976430976432
2004-05-01,0.0313192027839293
2004-06-01,0.02208588957055202
2004-07-01,-0.05672268907563027
2004-08-01,-0.0435889277760102
2004-09-01,0.13972055888223545
2004-10-01,0.0020431990659661725
2004-11-01,0.02272065249053301
2004-12-01,0.04642551979493037
2005-01-01,0.07049537289058239
2005-02-01,0.01449275362318847
2005-03-01,-0.07167919799498745
2005-04-01,0.06479481641468676
2005-05-01,0.07479716024340788
2005-06-01,-0.0523708421797594
2005-07-01,0.10878765247697286
2005-08-01,-0.04782218230803781
2005-09-01,-0.04880924310304158
2005-10-01,-0.009172037679722522
2005-11-01,0.04503377533149866
2005-12-01,0.05961216183864004
2006-01-01,0.14844103027564404
2006-02-01,-0.011804052724768921
2006-03-01,0.038821421461278094
2006-04-01,0.10770410118819473
2006-05-01,-0.038927335640138394
2006-06-01,0.007380738073807347
2006-07-01,0.0021443888491778917
2006-08-01,0.024786019971469342
2006-09-01,0.07760570732556116
2006-10-01,0.09639916034232199
2006-11-01,0.0033873343151691326
2006-12-01,-0.08880082195802141
2007-01-01,0.09085051546391765
2007-02-01,-0.045776727702303566
2007-03-01,-0.0007737542556486288
2007-04-01,-0.4562490320582313
2007-05-01,0.019082882369695353
2007-06-01,-0.0036333147009502964
2007-07-01,-0.03899018232819074
2007-08-01,0.05399883245767656
2007-09-01,0.1010800332317916
2007-10-01,0.1134305835010061
2007-11-01,-0.02078156765303818
2007-12-01,0.06966551326412906
2008-01-01,-0.13931421177485448
2008-02-01,-0.07366574793284886
2008-03-01,0.0075737084122262655
2008-04-01,0.23973154362416116
2008-05-01,0.009744478129060319
2008-06-01,-0.03752948745442852
2008-07-01,0.0621657754010696
2008-08-01,-0.003146633102580232
2008-09-01,-0.1553030303030304
2008-10-01,-0.2862481315396114
2008-11-01,-0.18952879581151827
2008-12-01,0.03273040482342804
2009-01-01,0.09049207673060877
2009-02-01,-0.02791586998087947
2009-03-01,0.12077104642014147
2009-04-01,0.18778518778518793
2009-05-01,-0.013297872340425565
2009-06-01,-0.052410901467505266
